RecordCategory,RecordSubCategory,StartDate,FinishDate
Feeding,Right Breast,Feb-18-2022 04:01,Feb-18-2022 04:17
Feeding,Right Breast,Feb-18-2022 04:22,Feb-18-2022 04:32
Feeding,Left Breast,Feb-18-2022 06:25,Feb-18-2022 06:46
Feeding,Right Breast,Feb-18-2022 06:48,Feb-18-2022 07:05
Feeding,Left Breast,Feb-18-2022 08:51,Feb-18-2022 09:08
Feeding,Right Breast,Feb-18-2022 09:14,Feb-18-2022 09:45
Feeding,Left Breast,Feb-18-2022 12:41,Feb-18-2022 12:55
Feeding,Right Breast,Feb-18-2022 12:58,Feb-18-2022 13:29
Feeding,Left Breast,Feb-18-2022 16:02,Feb-18-2022 17:00
Feeding,Right Breast,Feb-18-2022 18:29,Feb-18-2022 19:06
Feeding,Left Breast,Feb-18-2022 20:20,Feb-18-2022 21:09
Feeding,Right Breast,Feb-18-2022 23:01,Feb-18-2022 23:26
Feeding,Left Breast,Feb-19-2022 02:58,Feb-19-2022 03:20
Feeding,Right Breast,Feb-19-2022 04:44,Feb-19-2022 05:34
Feeding,Left Breast,Feb-19-2022 06:42,Feb-19-2022 06:53
Feeding,Right Breast,Feb-19-2022 06:58,Feb-19-2022 07:13
Feeding,Left Breast,Feb-19-2022 09:56,Feb-19-2022 10:13
Feeding,Right Breast,Feb-19-2022 10:14,Feb-19-2022 10:24
Feeding,Right Breast,Feb-19-2022 13:13,Feb-19-2022 13:31
Feeding,Left Breast,Feb-19-2022 13:31,Feb-19-2022 13:47
Feeding,Left Breast,Feb-19-2022 15:50,Feb-19-2022 16:14
Feeding,Right Breast,Feb-19-2022 16:24,Feb-19-2022 17:00
Feeding,Right Breast,Feb-19-2022 19:00,Feb-19-2022 19:38
Feeding,Left Breast,Feb-19-2022 19:42,Feb-19-2022 20:10
Feeding,Left Breast,Feb-19-2022 21:30,Feb-19-2022 22:30
Feeding,Right Breast,Feb-20-2022 00:46,Feb-20-2022 01:24
Feeding,Left Breast,Feb-20-2022 01:26,Feb-20-2022 01:39
Feeding,Right Breast,Feb-20-2022 05:08,Feb-20-2022 05:35
Feeding,Left Breast,Feb-20-2022 05:39,Feb-20-2022 05:53
Feeding,Left Breast,Feb-20-2022 07:38,Feb-20-2022 08:06
Feeding,Right Breast,Feb-20-2022 08:11,Feb-20-2022 08:27
Feeding,Right Breast,Feb-20-2022 09:59,Feb-20-2022 10:48
Feeding,Left Breast,Feb-20-2022 12:22,Feb-20-2022 12:44
Feeding,Right Breast,Feb-20-2022 14:49,Feb-20-2022 15:18
Feeding,Left Breast,Feb-20-2022 15:20,Feb-20-2022 16:00
Feeding,Right Breast,Feb-20-2022 18:07,Feb-20-2022 18:30
Feeding,Left Breast,Feb-20-2022 18:32,Feb-20-2022 18:54
Feeding,Left Breast,Feb-20-2022 21:08,Feb-20-2022 22:17
Feeding,Right Breast,Feb-20-2022 22:25,Feb-20-2022 22:42
Feeding,Right Breast,Feb-21-2022 01:11,Feb-21-2022 01:45
Feeding,Left Breast,Feb-21-2022 02:31,Feb-21-2022 02:50
Feeding,Right Breast,Feb-21-2022 04:10,Feb-21-2022 04:30
Feeding,Left Breast,Feb-21-2022 04:32,Feb-21-2022 04:57
Feeding,Right Breast,Feb-21-2022 06:31,Feb-21-2022 07:31
Feeding,Left Breast,Feb-21-2022 08:16,Feb-21-2022 08:38
Feeding,Right Breast,Feb-21-2022 10:36,Feb-21-2022 10:55
Feeding,Left Breast,Feb-21-2022 10:55,Feb-21-2022 11:09
Feeding,Left Breast,Feb-21-2022 11:09,Feb-21-2022 11:23
Feeding,Right Breast,Feb-21-2022 14:27,Feb-21-2022 14:48
Feeding,Left Breast,Feb-21-2022 14:48,Feb-21-2022 15:06
Feeding,Left Breast,Feb-21-2022 16:15,Feb-21-2022 16:57
Feeding,Right Breast,Feb-21-2022 16:57,Feb-21-2022 17:11
Feeding,Right Breast,Feb-21-2022 19:38,Feb-21-2022 20:24
Feeding,Left Breast,Feb-21-2022 20:28,Feb-21-2022 20:40
Feeding,Left Breast,Feb-21-2022 22:09,Feb-21-2022 22:38
Feeding,Right Breast,Feb-22-2022 00:57,Feb-22-2022 01:44
Feeding,Left Breast,Feb-22-2022 01:50,Feb-22-2022 02:03
Feeding,Left Breast,Feb-22-2022 03:38,Feb-22-2022 03:49
Feeding,Right Breast,Feb-22-2022 03:49,Feb-22-2022 04:11
Feeding,Left Breast,Feb-22-2022 05:46,Feb-22-2022 06:00
Feeding,Right Breast,Feb-22-2022 06:00,Feb-22-2022 06:26
Feeding,Left Breast,Feb-22-2022 07:08,Feb-22-2022 07:44
Feeding,Right Breast,Feb-22-2022 09:22,Feb-22-2022 09:32
Feeding,Left Breast,Feb-22-2022 09:32,Feb-22-2022 09:38
Feeding,Left Breast,Feb-22-2022 10:39,Feb-22-2022 11:03
Feeding,Right Breast,Feb-22-2022 11:03,Feb-22-2022 11:35
Feeding,Left Breast,Feb-22-2022 13:08,Feb-22-2022 13:25
Feeding,Right Breast,Feb-22-2022 13:26,Feb-22-2022 13:42
Feeding,Right Breast,Feb-22-2022 15:21,Feb-22-2022 16:05
Feeding,Left Breast,Feb-22-2022 18:14,Feb-22-2022 18:43
Feeding,Right Breast,Feb-22-2022 18:43,Feb-22-2022 19:00
Feeding,Left Breast,Feb-22-2022 20:20,Feb-22-2022 20:30
Feeding,Right Breast,Feb-22-2022 20:30,Feb-22-2022 20:45
Feeding,Right Breast,Feb-22-2022 21:50,Feb-22-2022 22:08
Feeding,Left Breast,Feb-23-2022 00:45,Feb-23-2022 01:00
Feeding,Right Breast,Feb-23-2022 01:02,Feb-23-2022 01:27
Feeding,Left Breast,Feb-23-2022 04:12,Feb-23-2022 04:25
Feeding,Right Breast,Feb-23-2022 04:25,Feb-23-2022 04:36
Feeding,Right Breast,Feb-23-2022 06:10,Feb-23-2022 06:25
Feeding,Left Breast,Feb-23-2022 06:27,Feb-23-2022 06:47
Feeding,Right Breast,Feb-23-2022 08:09,Feb-23-2022 08:35
Feeding,Left Breast,Feb-23-2022 08:37,Feb-23-2022 09:00
Feeding,Left Breast,Feb-23-2022 10:16,Feb-23-2022 10:36
Feeding,Right Breast,Feb-23-2022 10:40,Feb-23-2022 10:52
Feeding,Left Breast,Feb-23-2022 11:26,Feb-23-2022 12:02
Feeding,Left Breast,Feb-23-2022 14:04,Feb-23-2022 14:25
Feeding,Left Breast,Feb-23-2022 15:35,Feb-23-2022 15:54
Feeding,Right Breast,Feb-23-2022 15:57,Feb-23-2022 16:06
Feeding,Right Breast,Feb-23-2022 17:10,Feb-23-2022 18:10
Feeding,Left Breast,Feb-23-2022 20:07,Feb-23-2022 20:36
Feeding,Right Breast,Feb-23-2022 21:47,Feb-23-2022 22:09
Feeding,Left Breast,Feb-24-2022 01:06,Feb-24-2022 01:22
Feeding,Right Breast,Feb-24-2022 01:23,Feb-24-2022 01:49
Feeding,Left Breast,Feb-24-2022 02:05,Feb-24-2022 02:32
Feeding,Right Breast,Feb-24-2022 05:04,Feb-24-2022 05:16
Feeding,Left Breast,Feb-24-2022 05:16,Feb-24-2022 05:34
Feeding,Right Breast,Feb-24-2022 05:44,Feb-24-2022 05:52
Feeding,Right Breast,Feb-24-2022 05:57,Feb-24-2022 06:16
Feeding,Left Breast,Feb-24-2022 07:52,Feb-24-2022 08:14
Feeding,Right Breast,Feb-24-2022 08:15,Feb-24-2022 08:30
Feeding,Right Breast,Feb-24-2022 09:33,Feb-24-2022 09:58
Feeding,Left Breast,Feb-24-2022 10:01,Feb-24-2022 10:20
Feeding,Left Breast,Feb-24-2022 12:07,Feb-24-2022 12:44
Feeding,Right Breast,Feb-24-2022 12:45,Feb-24-2022 13:13
Feeding,Right Breast,Feb-24-2022 14:28,Feb-24-2022 15:12
Feeding,Left Breast,Feb-24-2022 15:14,Feb-24-2022 15:34
Feeding,Left Breast,Feb-24-2022 16:23,Feb-24-2022 16:56
Feeding,Right Breast,Feb-24-2022 18:16,Feb-24-2022 18:45
Feeding,Left Breast,Feb-24-2022 18:48,Feb-24-2022 19:05
Feeding,Left Breast,Feb-24-2022 20:12,Feb-24-2022 20:35
Feeding,Right Breast,Feb-24-2022 20:37,Feb-24-2022 20:48
Feeding,Right Breast,Feb-24-2022 21:05,Feb-24-2022 21:17
Feeding,Left Breast,Feb-24-2022 21:41,Feb-24-2022 21:58
Feeding,Right Breast,Feb-24-2022 22:04,Feb-24-2022 22:18
Feeding,Right Breast,Feb-25-2022 00:12,Feb-25-2022 00:30
Feeding,Left Breast,Feb-25-2022 00:32,Feb-25-2022 00:52
Feeding,Right Breast,Feb-25-2022 03:17,Feb-25-2022 03:30
Feeding,Left Breast,Feb-25-2022 03:31,Feb-25-2022 03:50
Feeding,Right Breast,Feb-25-2022 04:12,Feb-25-2022 04:20
Feeding,Left Breast,Feb-25-2022 05:13,Feb-25-2022 05:35
Feeding,Right Breast,Feb-25-2022 06:05,Feb-25-2022 06:18
Feeding,Right Breast,Feb-25-2022 07:55,Feb-25-2022 08:07
Feeding,Left Breast,Feb-25-2022 08:10,Feb-25-2022 08:53
Feeding,Right Breast,Feb-25-2022 10:04,Feb-25-2022 10:15
Feeding,Right Breast,Feb-25-2022 10:16,Feb-25-2022 10:46
Feeding,Left Breast,Feb-25-2022 12:14,Feb-25-2022 12:54
Feeding,Right Breast,Feb-25-2022 15:23,Feb-25-2022 15:58
Feeding,Left Breast,Feb-25-2022 17:57,Feb-25-2022 18:24
Feeding,Right Breast,Feb-25-2022 20:14,Feb-25-2022 20:57
Feeding,Left Breast,Feb-25-2022 23:33,Feb-25-2022 23:52
Feeding,Right Breast,Feb-25-2022 23:55,Feb-26-2022 00:06
Feeding,Left Breast,Feb-26-2022 02:34,Feb-26-2022 02:43
Feeding,Right Breast,Feb-26-2022 02:47,Feb-26-2022 02:58
Feeding,Right Breast,Feb-26-2022 03:07,Feb-26-2022 03:17
Feeding,Left Breast,Feb-26-2022 03:54,Feb-26-2022 04:17
Feeding,Right Breast,Feb-26-2022 06:12,Feb-26-2022 06:44
Feeding,Left Breast,Feb-26-2022 06:54,Feb-26-2022 07:03
Feeding,Left Breast,Feb-26-2022 07:04,Feb-26-2022 07:07
Feeding,Left Breast,Feb-26-2022 08:19,Feb-26-2022 08:44
Feeding,Right Breast,Feb-26-2022 08:50,Feb-26-2022 08:57
Feeding,Right Breast,Feb-26-2022 10:03,Feb-26-2022 10:39
Feeding,Left Breast,Feb-26-2022 12:33,Feb-26-2022 13:03
Feeding,Right Breast,Feb-26-2022 15:40,Feb-26-2022 16:25
Feeding,Left Breast,Feb-26-2022 18:20,Feb-26-2022 18:59
Feeding,Right Breast,Feb-26-2022 20:08,Feb-26-2022 20:48
Feeding,Left Breast,Feb-26-2022 21:25,Feb-26-2022 22:04
Feeding,Right Breast,Feb-27-2022 00:13,Feb-27-2022 00:52
Feeding,Left Breast,Feb-27-2022 02:22,Feb-27-2022 03:10
Feeding,Right Breast,Feb-27-2022 04:55,Feb-27-2022 05:22
Feeding,Left Breast,Feb-27-2022 05:28,Feb-27-2022 05:37
Feeding,Left Breast,Feb-27-2022 07:38,Feb-27-2022 08:02
Feeding,Right Breast,Feb-27-2022 08:03,Feb-27-2022 08:09
Feeding,Right Breast,Feb-27-2022 09:39,Feb-27-2022 10:13
Feeding,Left Breast,Feb-27-2022 10:16,Feb-27-2022 10:45
Feeding,Right Breast,Feb-27-2022 13:14,Feb-27-2022 13:48
Feeding,Left Breast,Feb-27-2022 13:48,Feb-27-2022 14:15
Feeding,Right Breast,Feb-27-2022 16:01,Feb-27-2022 16:22
Feeding,Left Breast,Feb-27-2022 16:23,Feb-27-2022 16:53
Feeding,Right Breast,Feb-27-2022 18:14,Feb-27-2022 19:00
Feeding,Left Breast,Feb-27-2022 20:50,Feb-27-2022 21:36
Feeding,Right Breast,Feb-27-2022 21:36,Feb-27-2022 21:47
Feeding,Right Breast,Feb-28-2022 00:02,Feb-28-2022 00:21
Feeding,Right Breast,Feb-28-2022 01:24,Feb-28-2022 02:11
Feeding,Left Breast,Feb-28-2022 02:34,Feb-28-2022 03:03
Feeding,Left Breast,Feb-28-2022 04:53,Feb-28-2022 05:16
Feeding,Left Breast,Feb-28-2022 06:16,Feb-28-2022 06:29
Feeding,Right Breast,Feb-28-2022 06:36,Feb-28-2022 07:13
Feeding,Left Breast,Feb-28-2022 08:22,Feb-28-2022 09:02
Feeding,Right Breast,Feb-28-2022 09:03,Feb-28-2022 09:16
Feeding,Right Breast,Feb-28-2022 10:22,Feb-28-2022 10:46
Feeding,Left Breast,Feb-28-2022 10:47,Feb-28-2022 11:25
Feeding,Left Breast,Feb-28-2022 13:22,Feb-28-2022 13:41
Feeding,Right Breast,Feb-28-2022 13:45,Feb-28-2022 13:59
Feeding,Right Breast,Feb-28-2022 15:15,Feb-28-2022 15:30
Feeding,Left Breast,Feb-28-2022 15:34,Feb-28-2022 15:55
Feeding,Right Breast,Feb-28-2022 16:03,Feb-28-2022 16:15
Feeding,Left Breast,Feb-28-2022 16:22,Feb-28-2022 16:51
Feeding,Right Breast,Feb-28-2022 18:30,Feb-28-2022 19:05
Feeding,Left Breast,Feb-28-2022 19:35,Feb-28-2022 20:15
Feeding,Right Breast,Feb-28-2022 21:58,Feb-28-2022 22:26
Feeding,Left Breast,Mar-1-2022 00:39,Mar-1-2022 01:41
Feeding,Left Breast,Mar-1-2022 01:41,Mar-1-2022 01:49
Feeding,Right Breast,Mar-1-2022 03:23,Mar-1-2022 03:50
Feeding,Left Breast,Mar-1-2022 05:04,Mar-1-2022 05:23
Feeding,Right Breast,Mar-1-2022 06:40,Mar-1-2022 07:12
Feeding,Right Breast,Mar-1-2022 09:01,Mar-1-2022 09:56
Feeding,Left Breast,Mar-1-2022 12:00,Mar-1-2022 12:35
Feeding,Right Breast,Mar-1-2022 15:45,Mar-1-2022 16:22
Feeding,Left Breast,Mar-1-2022 18:13,Mar-1-2022 18:40
Feeding,Right Breast,Mar-1-2022 18:41,Mar-1-2022 19:00
Feeding,Right Breast,Mar-1-2022 20:31,Mar-1-2022 20:55
Feeding,Left Breast,Mar-1-2022 21:13,Mar-1-2022 21:31
Feeding,Right Breast,Mar-1-2022 21:34,Mar-1-2022 21:41
Feeding,Right Breast,Mar-1-2022 21:41,Mar-1-2022 21:52
Feeding,Left Breast,Mar-2-2022 01:32,Mar-2-2022 01:56
Feeding,Right Breast,Mar-2-2022 04:06,Mar-2-2022 04:43
Feeding,Left Breast,Mar-2-2022 04:43,Mar-2-2022 05:23
Feeding,Left Breast,Mar-2-2022 06:47,Mar-2-2022 07:31
Feeding,Right Breast,Mar-2-2022 09:13,Mar-2-2022 09:35
Feeding,Left Breast,Mar-2-2022 09:35,Mar-2-2022 09:44
Feeding,Right Breast,Mar-2-2022 11:22,Mar-2-2022 11:49
Feeding,Left Breast,Mar-2-2022 13:13,Mar-2-2022 13:39
Feeding,Right Breast,Mar-2-2022 15:33,Mar-2-2022 16:03
Feeding,Left Breast,Mar-2-2022 16:26,Mar-2-2022 16:38
Feeding,Right Breast,Mar-2-2022 17:49,Mar-2-2022 18:07
Feeding,Left Breast,Mar-2-2022 19:36,Mar-2-2022 20:24
Feeding,Right Breast,Mar-2-2022 20:27,Mar-2-2022 20:50
Feeding,Right Breast,Mar-2-2022 21:30,Mar-2-2022 21:45
Feeding,Left Breast,Mar-3-2022 03:14,Mar-3-2022 03:41
Feeding,Right Breast,Mar-3-2022 03:54,Mar-3-2022 04:05
Feeding,Right Breast,Mar-3-2022 06:41,Mar-3-2022 07:11
Feeding,Left Breast,Mar-3-2022 08:03,Mar-3-2022 08:15
Feeding,Right Breast,Mar-3-2022 09:36,Mar-3-2022 10:13
Feeding,Left Breast,Mar-3-2022 10:17,Mar-3-2022 10:30
Feeding,Right Breast,Mar-3-2022 12:12,Mar-3-2022 12:38
Feeding,Left Breast,Mar-3-2022 12:38,Mar-3-2022 12:52
Feeding,Left Breast,Mar-3-2022 14:17,Mar-3-2022 14:42
Feeding,Right Breast,Mar-3-2022 14:44,Mar-3-2022 14:53
Feeding,Left Breast,Mar-3-2022 16:42,Mar-3-2022 17:04
Feeding,Right Breast,Mar-3-2022 17:06,Mar-3-2022 17:14
Feeding,Right Breast,Mar-3-2022 18:37,Mar-3-2022 19:02
Feeding,Left Breast,Mar-3-2022 19:03,Mar-3-2022 19:18
Feeding,Left Breast,Mar-3-2022 20:25,Mar-3-2022 21:01
Feeding,Right Breast,Mar-3-2022 21:03,Mar-3-2022 21:21
Feeding,Left Breast,Mar-3-2022 21:38,Mar-3-2022 21:50
Feeding,Right Breast,Mar-4-2022 00:18,Mar-4-2022 00:58
Feeding,Left Breast,Mar-4-2022 02:34,Mar-4-2022 03:07
Feeding,Right Breast,Mar-4-2022 05:18,Mar-4-2022 05:55
Feeding,Left Breast,Mar-4-2022 06:07,Mar-4-2022 06:21
Feeding,Right Breast,Mar-4-2022 06:31,Mar-4-2022 06:49
Feeding,Left Breast,Mar-4-2022 08:10,Mar-4-2022 08:44
Feeding,Left Breast,Mar-4-2022 09:57,Mar-4-2022 10:32
Feeding,Right Breast,Mar-4-2022 10:34,Mar-4-2022 10:42
Feeding,Right Breast,Mar-4-2022 12:50,Mar-4-2022 13:30
Feeding,Left Breast,Mar-4-2022 13:31,Mar-4-2022 14:03
Feeding,Left Breast,Mar-4-2022 14:40,Mar-4-2022 14:53
Feeding,Right Breast,Mar-4-2022 15:31,Mar-4-2022 16:13
Feeding,Left Breast,Mar-4-2022 18:11,Mar-4-2022 18:55
Feeding,Right Breast,Mar-4-2022 19:58,Mar-4-2022 20:25
Feeding,Left Breast,Mar-4-2022 20:25,Mar-4-2022 20:41
Feeding,Left Breast,Mar-4-2022 21:02,Mar-4-2022 21:32
Feeding,Right Breast,Mar-4-2022 21:32,Mar-4-2022 22:00
Feeding,Left Breast,Mar-5-2022 01:20,Mar-5-2022 01:39
Feeding,Right Breast,Mar-5-2022 04:23,Mar-5-2022 04:56
Feeding,Left Breast,Mar-5-2022 04:56,Mar-5-2022 05:21
Feeding,Left Breast,Mar-5-2022 06:35,Mar-5-2022 06:56
Feeding,Right Breast,Mar-5-2022 06:57,Mar-5-2022 07:20
Feeding,Right Breast,Mar-5-2022 08:59,Mar-5-2022 09:32
Feeding,Left Breast,Mar-5-2022 09:34,Mar-5-2022 10:01
Feeding,Right Breast,Mar-5-2022 12:25,Mar-5-2022 12:45
Feeding,Left Breast,Mar-5-2022 12:45,Mar-5-2022 13:18
Feeding,Left Breast,Mar-5-2022 14:24,Mar-5-2022 14:42
Feeding,Right Breast,Mar-5-2022 14:42,Mar-5-2022 14:58
Feeding,Right Breast,Mar-5-2022 15:33,Mar-5-2022 15:39
Feeding,Left Breast,Mar-5-2022 15:54,Mar-5-2022 16:22
Feeding,Right Breast,Mar-5-2022 18:36,Mar-5-2022 18:58
Feeding,Left Breast,Mar-5-2022 19:00,Mar-5-2022 19:48
Feeding,Right Breast,Mar-5-2022 21:11,Mar-5-2022 21:38
Feeding,Left Breast,Mar-5-2022 21:38,Mar-5-2022 22:07
Feeding,Left Breast,Mar-6-2022 00:31,Mar-6-2022 01:01
Feeding,Right Breast,Mar-6-2022 01:01,Mar-6-2022 01:16
Feeding,Right Breast,Mar-6-2022 02:36,Mar-6-2022 03:01
Feeding,Left Breast,Mar-6-2022 03:11,Mar-6-2022 03:37
Feeding,Left Breast,Mar-6-2022 04:38,Mar-6-2022 04:58
Feeding,Right Breast,Mar-6-2022 04:58,Mar-6-2022 05:28
Feeding,Right Breast,Mar-6-2022 06:30,Mar-6-2022 07:42
Feeding,Left Breast,Mar-6-2022 09:31,Mar-6-2022 10:03
Feeding,Right Breast,Mar-6-2022 10:03,Mar-6-2022 10:22
Feeding,Left Breast,Mar-6-2022 13:32,Mar-6-2022 13:58
Feeding,Right Breast,Mar-6-2022 13:59,Mar-6-2022 14:26
Feeding,Right Breast,Mar-6-2022 15:41,Mar-6-2022 15:52
Feeding,Left Breast,Mar-6-2022 15:52,Mar-6-2022 16:28
Feeding,Left Breast,Mar-6-2022 18:55,Mar-6-2022 19:16
Feeding,Right Breast,Mar-6-2022 19:16,Mar-6-2022 19:35
Feeding,Right Breast,Mar-6-2022 20:04,Mar-6-2022 20:13
Feeding,Left Breast,Mar-6-2022 20:13,Mar-6-2022 20:32
Feeding,Left Breast,Mar-6-2022 21:00,Mar-6-2022 21:39
Feeding,Right Breast,Mar-6-2022 21:39,Mar-6-2022 22:03
Feeding,Right Breast,Mar-7-2022 00:40,Mar-7-2022 01:10
Feeding,Left Breast,Mar-7-2022 02:06,Mar-7-2022 02:27
Feeding,Right Breast,Mar-7-2022 04:19,Mar-7-2022 04:38
Feeding,Left Breast,Mar-7-2022 04:50,Mar-7-2022 05:07
Feeding,Right Breast,Mar-7-2022 06:22,Mar-7-2022 06:36
Feeding,Right Breast,Mar-7-2022 06:46,Mar-7-2022 07:02
Feeding,Left Breast,Mar-7-2022 07:03,Mar-7-2022 07:30
Feeding,Right Breast,Mar-7-2022 09:21,Mar-7-2022 09:38
Feeding,Left Breast,Mar-7-2022 09:39,Mar-7-2022 10:08
Feeding,Left Breast,Mar-7-2022 11:38,Mar-7-2022 11:58
Feeding,Right Breast,Mar-7-2022 14:02,Mar-7-2022 14:33
Feeding,Left Breast,Mar-7-2022 14:34,Mar-7-2022 14:43
Feeding,Left Breast,Mar-7-2022 14:51,Mar-7-2022 15:18
Feeding,Right Breast,Mar-7-2022 16:47,Mar-7-2022 17:11
Feeding,Left Breast,Mar-7-2022 18:23,Mar-7-2022 18:40
Feeding,Right Breast,Mar-7-2022 18:41,Mar-7-2022 18:50
Feeding,Right Breast,Mar-7-2022 20:00,Mar-7-2022 20:23
Feeding,Right Breast,Mar-7-2022 20:26,Mar-7-2022 20:42
Feeding,Left Breast,Mar-7-2022 20:58,Mar-7-2022 21:25
Feeding,Right Breast,Mar-7-2022 21:26,Mar-7-2022 21:55
Feeding,Right Breast,Mar-8-2022 01:13,Mar-8-2022 01:44
Feeding,Left Breast,Mar-8-2022 01:44,Mar-8-2022 02:06
Feeding,Left Breast,Mar-8-2022 03:26,Mar-8-2022 03:56
Feeding,Right Breast,Mar-8-2022 05:10,Mar-8-2022 06:00
Feeding,Right Breast,Mar-8-2022 06:33,Mar-8-2022 06:43
Feeding,Left Breast,Mar-8-2022 06:55,Mar-8-2022 07:13
Feeding,Left Breast,Mar-8-2022 08:24,Mar-8-2022 09:22
Feeding,Right Breast,Mar-8-2022 09:55,Mar-8-2022 10:17
Feeding,Left Breast,Mar-8-2022 12:26,Mar-8-2022 12:51
Feeding,Right Breast,Mar-8-2022 12:52,Mar-8-2022 13:15
Feeding,Right Breast,Mar-8-2022 14:38,Mar-8-2022 14:55
Feeding,Left Breast,Mar-8-2022 15:14,Mar-8-2022 16:09
Feeding,Right Breast,Mar-8-2022 18:00,Mar-8-2022 18:19
Feeding,Left Breast,Mar-8-2022 18:20,Mar-8-2022 18:38
Feeding,Left Breast,Mar-8-2022 20:06,Mar-8-2022 20:45
Feeding,Right Breast,Mar-8-2022 20:54,Mar-8-2022 21:30
Feeding,Left Breast,Mar-8-2022 21:30,Mar-8-2022 21:49
